worker_id,name,department_code,department_name,designation,station_code,station_name,shift,availability_status
W0166,Yogesh Pawar,TRK,Track,Junior Engineer (P.Way),NK,Nashik Road,C (22:00-06:00),Available
W0167,Geeta Vhora,TRK,Track,Junior Engineer (P.Way),NK,Nashik Road,C (22:00-06:00),Available
W0168,Rajendra Chavan,TRK,Track,Junior Engineer (P.Way),NK,Nashik Road,A (06:00-14:00),Available
W0169,Rani Deshmukh,TRK,Track,Track Maintainer,NK,Nashik Road,A (06:00-14:00),Available
W0170,Sameer Shinde,TRK,Track,Track Maintainer,NK,Nashik Road,A (06:00-14:00),Available
W0171,Kavita Sawant,SIG,Signal,Signal Inspector,NK,Nashik Road,A (06:00-14:00),Available
W0172,Kalpana Kadam,SIG,Signal,Junior Engineer (Signal),NK,Nashik Road,B (14:00-22:00),Available
W0173,Amit Joshi,SIG,Signal,Junior Engineer (Signal),NK,Nashik Road,A (06:00-14:00),Available
W0174,Harish Naik,SIG,Signal,Signal Inspector,NK,Nashik Road,A (06:00-14:00),Available
W0175,Bhaskar Yadav,SIG,Signal,Junior Engineer (Signal),NK,Nashik Road,C (22:00-06:00),On Leave
W0176,Rekha Bhosale,SIG,Signal,Junior Engineer (Signal),NK,Nashik Road,C (22:00-06:00),On Duty
W0177,Ramesh Chauhan,SIG,Signal,Senior Section Engineer (Signal),NK,Nashik Road,C (22:00-06:00),On Duty
W0178,Anil Salunkhe,TRC,Traction,Traction Maintainer,NK,Nashik Road,B (14:00-22:00),Available
W0179,Manoj Tiwari,TRC,Traction,Senior Section Engineer (TRD),NK,Nashik Road,C (22:00-06:00),Available
W0180,Shailesh Gaikwad,TRC,Traction,Junior Engineer (TRD),NK,Nashik Road,B (14:00-22:00),Available
W0181,Tushar Patil,TRC,Traction,Junior Engineer (TRD),NK,Nashik Road,C (22:00-06:00),On Duty
W0182,Sameer Rao,TRC,Traction,Junior Engineer (TRD),NK,Nashik Road,A (06:00-14:00),On Duty
W0183,Rajendra Kulkarni,TRC,Traction,Traction Maintainer,NK,Nashik Road,A (06:00-14:00),Available
W0184,Rajesh Naik,TRK,Track,Senior Section Engineer (P.Way),SUR,Solapur,C (22:00-06:00),Available
W0185,Sameer Nair,TRK,Track,Permanent Way Inspector,SUR,Solapur,C (22:00-06:00),Available
W0186,Pooja Thakur,TRK,Track,Senior Section Engineer (P.Way),SUR,Solapur,A (06:00-14:00),Available
W0187,Zubin Patil,TRK,Track,Junior Engineer (P.Way),SUR,Solapur,C (22:00-06:00),Available
W0188,Prakash Kulkarni,TRK,Track,Permanent Way Inspector,SUR,Solapur,C (22:00-06:00),Available
W0189,Ashok Chauhan,TRK,Track,Junior Engineer (P.Way),SUR,Solapur,C (22:00-06:00),On Leave
W0190,Anita Mishra,SIG,Signal,Senior Section Engineer (Signal),SUR,Solapur,B (14:00-22:00),Available
W0191,Mohan Rathod,SIG,Signal,Signal Maintainer,SUR,Solapur,B (14:00-22:00),Available
W0192,Nikhil Rao,SIG,Signal,Junior Engineer (Signal),SUR,Solapur,B (14:00-22:00),On Duty
W0193,Pooja Iyer,SIG,Signal,Senior Section Engineer (Signal),SUR,Solapur,A (06:00-14:00),Available
W0194,Pradeep Reddy,SIG,Signal,Senior Section Engineer (Signal),SUR,Solapur,B (14:00-22:00),Available
W0195,Shankar Pandey,SIG,Signal,Senior Section Engineer (Signal),SUR,Solapur,C (22:00-06:00),On Duty
W0196,Zubin Nair,SIG,Signal,Signal Maintainer,SUR,Solapur,A (06:00-14:00),Available
W0197,Shobha Iyer,SIG,Signal,Junior Engineer (Signal),SUR,Solapur,A (06:00-14:00),On Duty
W0198,Shobha Shinde,TRC,Traction,Traction Maintainer,SUR,Solapur,A (06:00-14:00),Available
W0199,Parag Yadav,TRC,Traction,Traction Maintainer,SUR,Solapur,B (14:00-22:00),Available
W0200,Anita Iyer,TRC,Traction,Junior Engineer (TRD),SUR,Solapur,C (22:00-06:00),On Leave
W0201,Prakash Phadke,TRC,Traction,Junior Engineer (TRD),SUR,Solapur,A (06:00-14:00),Available
W0202,Vishal Chavan,TRC,Traction,Traction Maintainer,SUR,Solapur,A (06:00-14:00),On Leave
W0203,Vijay Phadke,TRC,Traction,Senior Section Engineer (TRD),SUR,Solapur,A (06:00-14:00),On Duty
